Step Time : 7.81s GPU utilization: 1.5MODEL_TFLOP/s/GPU [2026-03-31 22:20:03] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 7810.5 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.275055E+01 | loss scale: 1.0 | grad norm: 90.097 | number of skipped iterations:   0 | number of nan iterations:   0 |[Rank 3] (after 1 iterations) memory (GB) | mem-allocated-gigabytes: 18.723 | mem-active-gigabytes: 18.723 | mem-inactive-gigabytes: 0.0 | mem-reserved-gigabytes: 19.046 | mem-max-allocated-gigabytes: 18.723 | mem-max-active-gigabytes: 18.723 | mem-max-inactive-gigabytes: 0.0 | mem-max-reserved-gigabytes: 19.046 | mem-alloc-retires: 0 | mem-allocated-count: 891[Rank 2] (after 1 iterations) memory (GB) | mem-allocated-gigabytes: 18.723 | mem-active-gigabytes: 18.723 | mem-inactive-gigabytes: 0.0 | mem-reserved-gigabytes: 19.046 | mem-max-allocated-gigabytes: 18.723 | mem-max-active-gigabytes: 18.723 | mem-max-inactive-gigabytes: 0.0 | mem-max-reserved-gigabytes: 19.046 | mem-alloc-retires: 0 | mem-allocated-count: 891
 [2026-03-31 22:20:04] iteration        2/     100 | consumed samples:            2 | elapsed time per iteration (ms): 856.7 | learning rate: 2.997336E-04 | global batch size:     1 | lm loss: 1.078372E+01 | loss scale: 1.0 | grad norm: 70.451 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:21] iteration       34/     100 | consumed samples:           34 | elapsed time per iteration (ms): 519.7 | learning rate: 2.300367E-04 | global batch size:     1 | lm loss: 8.054176E+00 | loss scale: 1.0 | grad norm: 1.750 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:21] iteration       35/     100 | consumed samples:           35 | elapsed time per iteration (ms): 521.6 | learning rate: 2.262887E-04 | global batch size:     1 | lm loss: 8.271932E+00 | loss scale: 1.0 | grad norm: 1.252 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:22] iteration       36/     100 | consumed samples:           36 | elapsed time per iteration (ms): 517.5 | learning rate: 2.224802E-04 | global batch size:     1 | lm loss: 7.821056E+00 | loss scale: 1.0 | grad norm: 2.010 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:22] iteration       37/     100 | consumed samples:           37 | elapsed time per iteration (ms): 516.5 | learning rate: 2.186150E-04 | global batch size:     1 | lm loss: 8.436546E+00 | loss scale: 1.0 | grad norm: 1.400 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:23] iteration       38/     100 | consumed samples:           38 | elapsed time per iteration (ms): 520.0 | learning rate: 2.146968E-04 | global batch size:     1 | lm loss: 8.672182E+00 | loss scale: 1.0 | grad norm: 1.418 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:23] iteration       39/     100 | consumed samples:           39 | elapsed time per iteration (ms): 518.1 | learning rate: 2.107296E-04 | global batch size:     1 | lm loss: 8.158116E+00 | loss scale: 1.0 | grad norm: 1.569 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:24] iteration       40/     100 | consumed samples:           40 | elapsed time per iteration (ms): 518.7 | learning rate: 2.067173E-04 | global batch size:     1 | lm loss: 8.483013E+00 | loss scale: 1.0 | grad norm: 1.632 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:24] iteration       41/     100 | consumed samples:           41 | elapsed time per iteration (ms): 515.6 | learning rate: 2.026638E-04 | global batch size:     1 | lm loss: 7.750255E+00 | loss scale: 1.0 | grad norm: 0.975 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:25] iteration       42/     100 | consumed samples:           42 | elapsed time per iteration (ms): 516.0 | learning rate: 1.985731E-04 | global batch size:     1 | lm loss: 7.847993E+00 | loss scale: 1.0 | grad norm: 1.332 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:26] iteration       43/     100 | consumed samples:           43 | elapsed time per iteration (ms): 517.2 | learning rate: 1.944493E-04 | global batch size:     1 | lm loss: 8.145514E+00 | loss scale: 1.0 | grad norm: 1.105 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:26] iteration       44/     100 | consumed samples:           44 | elapsed time per iteration (ms): 515.8 | learning rate: 1.902965E-04 | global batch size:     1 | lm loss: 8.009388E+00 | loss scale: 1.0 | grad norm: 1.150 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:27] iteration       45/     100 | consumed samples:           45 | elapsed time per iteration (ms): 520.1 | learning rate: 1.861186E-04 | global batch size:     1 | lm loss: 7.773008E+00 | loss scale: 1.0 | grad norm: 1.189 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:27] iteration       46/     100 | consumed samples:           46 | elapsed time per iteration (ms): 522.5 | learning rate: 1.819200E-04 | global batch size:     1 | lm loss: 1.025927E+01 | loss scale: 1.0 | grad norm: 1.890 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:28] iteration       47/     100 | consumed samples:           47 | elapsed time per iteration (ms): 515.9 | learning rate: 1.777046E-04 | global batch size:     1 | lm loss: 7.505643E+00 | loss scale: 1.0 | grad norm: 1.250 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:28] iteration       48/     100 | consumed samples:           48 | elapsed time per iteration (ms): 517.3 | learning rate: 1.734767E-04 | global batch size:     1 | lm loss: 7.310097E+00 | loss scale: 1.0 | grad norm: 0.993 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:29] iteration       49/     100 | consumed samples:           49 | elapsed time per iteration (ms): 519.5 | learning rate: 1.692404E-04 | global batch size:     1 | lm loss: 7.781854E+00 | loss scale: 1.0 | grad norm: 2.271 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:29] iteration       50/     100 | consumed samples:           50 | elapsed time per iteration (ms): 515.3 | learning rate: 1.650000E-04 | global batch size:     1 | lm loss: 7.753439E+00 | loss scale: 1.0 | grad norm: 1.223 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:30] iteration       51/     100 | consumed samples:           51 | elapsed time per iteration (ms): 517.1 | learning rate: 1.607595E-04 | global batch size:     1 | lm loss: 8.024803E+00 | loss scale: 1.0 | grad norm: 1.118 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:30] iteration       52/     100 | consumed samples:           52 | elapsed time per iteration (ms): 515.3 | learning rate: 1.565233E-04 | global batch size:     1 | lm loss: 7.187449E+00 | loss scale: 1.0 | grad norm: 0.935 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:31] iteration       53/     100 | consumed samples:           53 | elapsed time per iteration (ms): 517.5 | learning rate: 1.522954E-04 | global batch size:     1 | lm loss: 7.347177E+00 | loss scale: 1.0 | grad norm: 0.614 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:31] iteration       54/     100 | consumed samples:           54 | elapsed time per iteration (ms): 518.3 | learning rate: 1.480800E-04 | global batch size:     1 | lm loss: 8.778590E+00 | loss scale: 1.0 | grad norm: 1.309 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:32] iteration       55/     100 | consumed samples:           55 | elapsed time per iteration (ms): 519.9 | learning rate: 1.438813E-04 | global batch size:     1 | lm loss: 8.646886E+00 | loss scale: 1.0 | grad norm: 1.461 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:32] iteration       56/     100 | consumed samples:           56 | elapsed time per iteration (ms): 516.5 | learning rate: 1.397035E-04 | global batch size:     1 | lm loss: 8.396732E+00 | loss scale: 1.0 | grad norm: 1.302 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:33] iteration       57/     100 | consumed samples:           57 | elapsed time per iteration (ms): 560.6 | learning rate: 1.355507E-04 | global batch size:     1 | lm loss: 8.614216E+00 | loss scale: 1.0 | grad norm: 1.301 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:33] iteration       58/     100 | consumed samples:           58 | elapsed time per iteration (ms): 526.5 | learning rate: 1.314269E-04 | global batch size:     1 | lm loss: 8.693095E+00 | loss scale: 1.0 | grad norm: 1.730 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:34] iteration       59/     100 | consumed samples:           59 | elapsed time per iteration (ms): 517.4 | learning rate: 1.273362E-04 | global batch size:     1 | lm loss: 7.836550E+00 | loss scale: 1.0 | grad norm: 1.373 | number of skipped iterations:   0 | number of nan iterations:   0 |
Step Time : 0.52s GPU utilization: 23.3MODEL_TFLOP/s/GPU [2026-03-31 22:20:34] iteration       60/     100 | consumed samples:           60 | elapsed time per iteration (ms): 519.4 | learning rate: 1.232827E-04 | global batch size:     1 | lm loss: 7.864450E+00 | loss scale: 1.0 | grad norm: 1.594 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:35] iteration       61/     100 | consumed samples:           61 | elapsed time per iteration (ms): 547.8 | learning rate: 1.192704E-04 | global batch size:     1 | lm loss: 7.751229E+00 | loss scale: 1.0 | grad norm: 1.049 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:35] iteration       62/     100 | consumed samples:           62 | elapsed time per iteration (ms): 523.1 | learning rate: 1.153032E-04 | global batch size:     1 | lm loss: 7.743234E+00 | loss scale: 1.0 | grad norm: 1.583 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:36] iteration       63/     100 | consumed samples:           63 | elapsed time per iteration (ms): 514.6 | learning rate: 1.113850E-04 | global batch size:     1 | lm loss: 7.645516E+00 | loss scale: 1.0 | grad norm: 1.221 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:36] iteration       64/     100 | consumed samples:           64 | elapsed time per iteration (ms): 518.3 | learning rate: 1.075198E-04 | global batch size:     1 | lm loss: 8.307903E+00 | loss scale: 1.0 | grad norm: 3.162 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:37] iteration       65/     100 | consumed samples:           65 | elapsed time per iteration (ms): 518.6 | learning rate: 1.037113E-04 | global batch size:     1 | lm loss: 7.508276E+00 | loss scale: 1.0 | grad norm: 1.467 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:37] iteration       66/     100 | consumed samples:           66 | elapsed time per iteration (ms): 514.4 | learning rate: 9.996325E-05 | global batch size:     1 | lm loss: 7.545747E+00 | loss scale: 1.0 | grad norm: 1.186 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:38] iteration       67/     100 | consumed samples:           67 | elapsed time per iteration (ms): 520.9 | learning rate: 9.627941E-05 | global batch size:     1 | lm loss: 9.376202E+00 | loss scale: 1.0 | grad norm: 1.835 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:39] iteration       68/     100 | consumed samples:           68 | elapsed time per iteration (ms): 516.9 | learning rate: 9.266338E-05 | global batch size:     1 | lm loss: 7.766603E+00 | loss scale: 1.0 | grad norm: 1.021 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:39] iteration       69/     100 | consumed samples:           69 | elapsed time per iteration (ms): 516.1 | learning rate: 8.911874E-05 | global batch size:     1 | lm loss: 7.643892E+00 | loss scale: 1.0 | grad norm: 1.088 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:40] iteration       70/     100 | consumed samples:           70 | elapsed time per iteration (ms): 516.3 | learning rate: 8.564899E-05 | global batch size:     1 | lm loss: 7.184665E+00 | loss scale: 1.0 | grad norm: 1.220 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:40] iteration       71/     100 | consumed samples:           71 | elapsed time per iteration (ms): 518.3 | learning rate: 8.225755E-05 | global batch size:     1 | lm loss: 7.367901E+00 | loss scale: 1.0 | grad norm: 1.421 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:41] iteration       72/     100 | consumed samples:           72 | elapsed time per iteration (ms): 519.3 | learning rate: 7.894776E-05 | global batch size:     1 | lm loss: 8.008169E+00 | loss scale: 1.0 | grad norm: 2.026 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:41] iteration       73/     100 | consumed samples:           73 | elapsed time per iteration (ms): 516.3 | learning rate: 7.572290E-05 | global batch size:     1 | lm loss: 7.107935E+00 | loss scale: 1.0 | grad norm: 1.182 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:42] iteration       74/     100 | consumed samples:           74 | elapsed time per iteration (ms): 517.6 | learning rate: 7.258614E-05 | global batch size:     1 | lm loss: 7.384119E+00 | loss scale: 1.0 | grad norm: 2.556 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:42] iteration       75/     100 | consumed samples:           75 | elapsed time per iteration (ms): 514.8 | learning rate: 6.954058E-05 | global batch size:     1 | lm loss: 8.281992E+00 | loss scale: 1.0 | grad norm: 1.380 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:43] iteration       76/     100 | consumed samples:           76 | elapsed time per iteration (ms): 514.3 | learning rate: 6.658924E-05 | global batch size:     1 | lm loss: 7.310769E+00 | loss scale: 1.0 | grad norm: 0.881 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:43] iteration       77/     100 | consumed samples:           77 | elapsed time per iteration (ms): 516.0 | learning rate: 6.373500E-05 | global batch size:     1 | lm loss: 7.866037E+00 | loss scale: 1.0 | grad norm: 1.271 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:44] iteration       78/     100 | consumed samples:           78 | elapsed time per iteration (ms): 519.9 | learning rate: 6.098071E-05 | global batch size:     1 | lm loss: 8.241058E+00 | loss scale: 1.0 | grad norm: 2.467 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:44] iteration       79/     100 | consumed samples:           79 | elapsed time per iteration (ms): 519.0 | learning rate: 5.832907E-05 | global batch size:     1 | lm loss: 7.761883E+00 | loss scale: 1.0 | grad norm: 2.049 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:45] iteration       80/     100 | consumed samples:           80 | elapsed time per iteration (ms): 520.5 | learning rate: 5.578270E-05 | global batch size:     1 | lm loss: 7.382113E+00 | loss scale: 1.0 | grad norm: 1.527 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:45] iteration       81/     100 | consumed samples:           81 | elapsed time per iteration (ms): 517.2 | learning rate: 5.334412E-05 | global batch size:     1 | lm loss: 7.385639E+00 | loss scale: 1.0 | grad norm: 1.167 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:46] iteration       82/     100 | consumed samples:           82 | elapsed time per iteration (ms): 516.1 | learning rate: 5.101573E-05 | global batch size:     1 | lm loss: 7.073747E+00 | loss scale: 1.0 | grad norm: 1.146 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:46] iteration       83/     100 | consumed samples:           83 | elapsed time per iteration (ms): 514.9 | learning rate: 4.879983E-05 | global batch size:     1 | lm loss: 7.469620E+00 | loss scale: 1.0 | grad norm: 1.086 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:47] iteration       84/     100 | consumed samples:           84 | elapsed time per iteration (ms): 516.7 | learning rate: 4.669860E-05 | global batch size:     1 | lm loss: 8.119208E+00 | loss scale: 1.0 | grad norm: 1.116 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:47] iteration       85/     100 | consumed samples:           85 | elapsed time per iteration (ms): 517.9 | learning rate: 4.471412E-05 | global batch size:     1 | lm loss: 7.774231E+00 | loss scale: 1.0 | grad norm: 1.790 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:48] iteration       86/     100 | consumed samples:           86 | elapsed time per iteration (ms): 516.5 | learning rate: 4.284835E-05 | global batch size:     1 | lm loss: 7.871353E+00 | loss scale: 1.0 | grad norm: 2.059 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:48] iteration       87/     100 | consumed samples:           87 | elapsed time per iteration (ms): 518.3 | learning rate: 4.110313E-05 | global batch size:     1 | lm loss: 7.188553E+00 | loss scale: 1.0 | grad norm: 1.997 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:49] iteration       88/     100 | consumed samples:           88 | elapsed time per iteration (ms): 514.8 | learning rate: 3.948018E-05 | global batch size:     1 | lm loss: 7.947321E+00 | loss scale: 1.0 | grad norm: 1.207 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:49] iteration       89/     100 | consumed samples:           89 | elapsed time per iteration (ms): 515.9 | learning rate: 3.798110E-05 | global batch size:     1 | lm loss: 7.332932E+00 | loss scale: 1.0 | grad norm: 0.851 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 22:20:50] iteration       90/     100 | consumed samples:           90 | elapsed time per iteration (ms): 518.9 | learning rate: 3.660737E-05 | global batch size:     1 | lm loss: 7.065080E+00 | loss scale: 1.0 | grad norm: 1.224 | number of skipped iterations:   0 | number of nan iterations:   0 |
