Number of parameters in transformer layers in billions:  0.44 [2026-03-31 19:18:45] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 4853.4 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.213320E+01 | loss scale: 1.0 | grad norm: 18.259 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:48] iteration       14/     100 | consumed samples:           14 | elapsed time per iteration (ms): 235.2 | learning rate: 2.871517E-04 | global batch size:     1 | lm loss: 1.118029E+01 | loss scale: 1.0 | grad norm: 0.695 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:48] iteration       15/     100 | consumed samples:           15 | elapsed time per iteration (ms): 233.1 | learning rate: 2.852859E-04 | global batch size:     1 | lm loss: 1.102669E+01 | loss scale: 1.0 | grad norm: 0.689 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:48] iteration       16/     100 | consumed samples:           16 | elapsed time per iteration (ms): 233.2 | learning rate: 2.833014E-04 | global batch size:     1 | lm loss: 1.095393E+01 | loss scale: 1.0 | grad norm: 0.691 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:48] iteration       17/     100 | consumed samples:           17 | elapsed time per iteration (ms): 237.0 | learning rate: 2.812002E-04 | global batch size:     1 | lm loss: 1.022428E+01 | loss scale: 1.0 | grad norm: 0.678 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:49] iteration       18/     100 | consumed samples:           18 | elapsed time per iteration (ms): 239.2 | learning rate: 2.789843E-04 | global batch size:     1 | lm loss: 1.045263E+01 | loss scale: 1.0 | grad norm: 0.669 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:49] iteration       19/     100 | consumed samples:           19 | elapsed time per iteration (ms): 239.1 | learning rate: 2.766559E-04 | global batch size:     1 | lm loss: 9.783780E+00 | loss scale: 1.0 | grad norm: 0.763 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:49] iteration       20/     100 | consumed samples:           20 | elapsed time per iteration (ms): 237.1 | learning rate: 2.742173E-04 | global batch size:     1 | lm loss: 9.595140E+00 | loss scale: 1.0 | grad norm: 0.644 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:49] iteration       21/     100 | consumed samples:           21 | elapsed time per iteration (ms): 236.7 | learning rate: 2.716709E-04 | global batch size:     1 | lm loss: 9.320650E+00 | loss scale: 1.0 | grad norm: 0.729 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:50] iteration       22/     100 | consumed samples:           22 | elapsed time per iteration (ms): 234.9 | learning rate: 2.690193E-04 | global batch size:     1 | lm loss: 9.166408E+00 | loss scale: 1.0 | grad norm: 0.820 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:50] iteration       23/     100 | consumed samples:           23 | elapsed time per iteration (ms): 240.7 | learning rate: 2.662650E-04 | global batch size:     1 | lm loss: 9.122173E+00 | loss scale: 1.0 | grad norm: 0.549 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:50] iteration       24/     100 | consumed samples:           24 | elapsed time per iteration (ms): 235.7 | learning rate: 2.634108E-04 | global batch size:     1 | lm loss: 9.984409E+00 | loss scale: 1.0 | grad norm: 0.741 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:50] iteration       25/     100 | consumed samples:           25 | elapsed time per iteration (ms): 232.9 | learning rate: 2.604594E-04 | global batch size:     1 | lm loss: 9.439877E+00 | loss scale: 1.0 | grad norm: 0.611 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:51] iteration       26/     100 | consumed samples:           26 | elapsed time per iteration (ms): 234.7 | learning rate: 2.574139E-04 | global batch size:     1 | lm loss: 9.897132E+00 | loss scale: 1.0 | grad norm: 0.619 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:51] iteration       27/     100 | consumed samples:           27 | elapsed time per iteration (ms): 234.0 | learning rate: 2.542771E-04 | global batch size:     1 | lm loss: 1.010560E+01 | loss scale: 1.0 | grad norm: 0.652 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:51] iteration       28/     100 | consumed samples:           28 | elapsed time per iteration (ms): 233.6 | learning rate: 2.510522E-04 | global batch size:     1 | lm loss: 1.028285E+01 | loss scale: 1.0 | grad norm: 0.642 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:51] iteration       29/     100 | consumed samples:           29 | elapsed time per iteration (ms): 235.3 | learning rate: 2.477425E-04 | global batch size:     1 | lm loss: 8.320704E+00 | loss scale: 1.0 | grad norm: 0.564 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:51] iteration       30/     100 | consumed samples:           30 | elapsed time per iteration (ms): 237.2 | learning rate: 2.443510E-04 | global batch size:     1 | lm loss: 9.148283E+00 | loss scale: 1.0 | grad norm: 0.647 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:52] iteration       31/     100 | consumed samples:           31 | elapsed time per iteration (ms): 236.3 | learning rate: 2.408813E-04 | global batch size:     1 | lm loss: 8.795289E+00 | loss scale: 1.0 | grad norm: 0.594 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:52] iteration       32/     100 | consumed samples:           32 | elapsed time per iteration (ms): 234.8 | learning rate: 2.373366E-04 | global batch size:     1 | lm loss: 8.310568E+00 | loss scale: 1.0 | grad norm: 0.428 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:52] iteration       33/     100 | consumed samples:           33 | elapsed time per iteration (ms): 234.5 | learning rate: 2.337206E-04 | global batch size:     1 | lm loss: 8.784375E+00 | loss scale: 1.0 | grad norm: 0.604 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:52] iteration       34/     100 | consumed samples:           34 | elapsed time per iteration (ms): 235.2 | learning rate: 2.300367E-04 | global batch size:     1 | lm loss: 9.042809E+00 | loss scale: 1.0 | grad norm: 0.628 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:53] iteration       35/     100 | consumed samples:           35 | elapsed time per iteration (ms): 238.3 | learning rate: 2.262887E-04 | global batch size:     1 | lm loss: 8.065753E+00 | loss scale: 1.0 | grad norm: 0.404 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:53] iteration       36/     100 | consumed samples:           36 | elapsed time per iteration (ms): 237.4 | learning rate: 2.224802E-04 | global batch size:     1 | lm loss: 8.809067E+00 | loss scale: 1.0 | grad norm: 0.597 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:53] iteration       37/     100 | consumed samples:           37 | elapsed time per iteration (ms): 235.4 | learning rate: 2.186150E-04 | global batch size:     1 | lm loss: 8.004259E+00 | loss scale: 1.0 | grad norm: 0.443 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:53] iteration       38/     100 | consumed samples:           38 | elapsed time per iteration (ms): 236.0 | learning rate: 2.146968E-04 | global batch size:     1 | lm loss: 9.093365E+00 | loss scale: 1.0 | grad norm: 0.661 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:54] iteration       39/     100 | consumed samples:           39 | elapsed time per iteration (ms): 236.1 | learning rate: 2.107296E-04 | global batch size:     1 | lm loss: 8.048839E+00 | loss scale: 1.0 | grad norm: 0.597 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:54] iteration       40/     100 | consumed samples:           40 | elapsed time per iteration (ms): 234.9 | learning rate: 2.067173E-04 | global batch size:     1 | lm loss: 8.349079E+00 | loss scale: 1.0 | grad norm: 0.696 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:54] iteration       41/     100 | consumed samples:           41 | elapsed time per iteration (ms): 236.2 | learning rate: 2.026638E-04 | global batch size:     1 | lm loss: 8.127625E+00 | loss scale: 1.0 | grad norm: 0.381 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:54] iteration       42/     100 | consumed samples:           42 | elapsed time per iteration (ms): 237.4 | learning rate: 1.985731E-04 | global batch size:     1 | lm loss: 8.053948E+00 | loss scale: 1.0 | grad norm: 0.682 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:55] iteration       43/     100 | consumed samples:           43 | elapsed time per iteration (ms): 236.2 | learning rate: 1.944493E-04 | global batch size:     1 | lm loss: 8.127624E+00 | loss scale: 1.0 | grad norm: 0.386 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:55] iteration       44/     100 | consumed samples:           44 | elapsed time per iteration (ms): 235.9 | learning rate: 1.902965E-04 | global batch size:     1 | lm loss: 8.291570E+00 | loss scale: 1.0 | grad norm: 0.485 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:55] iteration       45/     100 | consumed samples:           45 | elapsed time per iteration (ms): 234.9 | learning rate: 1.861186E-04 | global batch size:     1 | lm loss: 7.994504E+00 | loss scale: 1.0 | grad norm: 0.653 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:55] iteration       46/     100 | consumed samples:           46 | elapsed time per iteration (ms): 237.0 | learning rate: 1.819200E-04 | global batch size:     1 | lm loss: 1.027713E+01 | loss scale: 1.0 | grad norm: 0.781 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:55] iteration       47/     100 | consumed samples:           47 | elapsed time per iteration (ms): 236.4 | learning rate: 1.777046E-04 | global batch size:     1 | lm loss: 7.925801E+00 | loss scale: 1.0 | grad norm: 0.557 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:56] iteration       48/     100 | consumed samples:           48 | elapsed time per iteration (ms): 239.0 | learning rate: 1.734767E-04 | global batch size:     1 | lm loss: 7.894492E+00 | loss scale: 1.0 | grad norm: 0.593 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:56] iteration       49/     100 | consumed samples:           49 | elapsed time per iteration (ms): 239.7 | learning rate: 1.692404E-04 | global batch size:     1 | lm loss: 7.937625E+00 | loss scale: 1.0 | grad norm: 0.462 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:56] iteration       50/     100 | consumed samples:           50 | elapsed time per iteration (ms): 238.2 | learning rate: 1.650000E-04 | global batch size:     1 | lm loss: 8.068619E+00 | loss scale: 1.0 | grad norm: 0.623 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:56] iteration       51/     100 | consumed samples:           51 | elapsed time per iteration (ms): 237.1 | learning rate: 1.607595E-04 | global batch size:     1 | lm loss: 7.940847E+00 | loss scale: 1.0 | grad norm: 0.425 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:57] iteration       52/     100 | consumed samples:           52 | elapsed time per iteration (ms): 235.5 | learning rate: 1.565233E-04 | global batch size:     1 | lm loss: 7.782626E+00 | loss scale: 1.0 | grad norm: 0.641 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:57] iteration       53/     100 | consumed samples:           53 | elapsed time per iteration (ms): 234.9 | learning rate: 1.522954E-04 | global batch size:     1 | lm loss: 7.745236E+00 | loss scale: 1.0 | grad norm: 0.546 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:57] iteration       54/     100 | consumed samples:           54 | elapsed time per iteration (ms): 234.9 | learning rate: 1.480800E-04 | global batch size:     1 | lm loss: 8.662039E+00 | loss scale: 1.0 | grad norm: 0.514 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:57] iteration       55/     100 | consumed samples:           55 | elapsed time per iteration (ms): 235.1 | learning rate: 1.438813E-04 | global batch size:     1 | lm loss: 8.924211E+00 | loss scale: 1.0 | grad norm: 0.675 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:58] iteration       56/     100 | consumed samples:           56 | elapsed time per iteration (ms): 234.4 | learning rate: 1.397035E-04 | global batch size:     1 | lm loss: 8.277637E+00 | loss scale: 1.0 | grad norm: 0.510 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:58] iteration       57/     100 | consumed samples:           57 | elapsed time per iteration (ms): 236.8 | learning rate: 1.355507E-04 | global batch size:     1 | lm loss: 8.403231E+00 | loss scale: 1.0 | grad norm: 0.570 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:58] iteration       58/     100 | consumed samples:           58 | elapsed time per iteration (ms): 237.7 | learning rate: 1.314269E-04 | global batch size:     1 | lm loss: 9.076314E+00 | loss scale: 1.0 | grad norm: 0.799 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:58] iteration       59/     100 | consumed samples:           59 | elapsed time per iteration (ms): 236.2 | learning rate: 1.273362E-04 | global batch size:     1 | lm loss: 8.371813E+00 | loss scale: 1.0 | grad norm: 0.561 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:59] iteration       60/     100 | consumed samples:           60 | elapsed time per iteration (ms): 238.1 | learning rate: 1.232827E-04 | global batch size:     1 | lm loss: 8.103248E+00 | loss scale: 1.0 | grad norm: 0.394 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:59] iteration       61/     100 | consumed samples:           61 | elapsed time per iteration (ms): 237.1 | learning rate: 1.192704E-04 | global batch size:     1 | lm loss: 7.881613E+00 | loss scale: 1.0 | grad norm: 0.421 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:59] iteration       62/     100 | consumed samples:           62 | elapsed time per iteration (ms): 235.6 | learning rate: 1.153032E-04 | global batch size:     1 | lm loss: 7.985540E+00 | loss scale: 1.0 | grad norm: 0.421 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:18:59] iteration       63/     100 | consumed samples:           63 | elapsed time per iteration (ms): 235.7 | learning rate: 1.113850E-04 | global batch size:     1 | lm loss: 8.183811E+00 | loss scale: 1.0 | grad norm: 0.469 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:00] iteration       64/     100 | consumed samples:           64 | elapsed time per iteration (ms): 236.5 | learning rate: 1.075198E-04 | global batch size:     1 | lm loss: 7.885004E+00 | loss scale: 1.0 | grad norm: 0.537 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:00] iteration       65/     100 | consumed samples:           65 | elapsed time per iteration (ms): 234.7 | learning rate: 1.037113E-04 | global batch size:     1 | lm loss: 7.783394E+00 | loss scale: 1.0 | grad norm: 0.400 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:00] iteration       66/     100 | consumed samples:           66 | elapsed time per iteration (ms): 235.9 | learning rate: 9.996325E-05 | global batch size:     1 | lm loss: 8.716717E+00 | loss scale: 1.0 | grad norm: 0.734 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:00] iteration       67/     100 | consumed samples:           67 | elapsed time per iteration (ms): 236.4 | learning rate: 9.627941E-05 | global batch size:     1 | lm loss: 9.425053E+00 | loss scale: 1.0 | grad norm: 0.691 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:00] iteration       68/     100 | consumed samples:           68 | elapsed time per iteration (ms): 236.5 | learning rate: 9.266338E-05 | global batch size:     1 | lm loss: 8.033184E+00 | loss scale: 1.0 | grad norm: 0.366 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:01] iteration       69/     100 | consumed samples:           69 | elapsed time per iteration (ms): 238.4 | learning rate: 8.911874E-05 | global batch size:     1 | lm loss: 7.692766E+00 | loss scale: 1.0 | grad norm: 0.538 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:01] iteration       70/     100 | consumed samples:           70 | elapsed time per iteration (ms): 242.5 | learning rate: 8.564899E-05 | global batch size:     1 | lm loss: 8.206482E+00 | loss scale: 1.0 | grad norm: 0.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:01] iteration       71/     100 | consumed samples:           71 | elapsed time per iteration (ms): 238.8 | learning rate: 8.225755E-05 | global batch size:     1 | lm loss: 8.064277E+00 | loss scale: 1.0 | grad norm: 0.386 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:01] iteration       72/     100 | consumed samples:           72 | elapsed time per iteration (ms): 238.3 | learning rate: 7.894776E-05 | global batch size:     1 | lm loss: 7.739472E+00 | loss scale: 1.0 | grad norm: 0.520 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:02] iteration       73/     100 | consumed samples:           73 | elapsed time per iteration (ms): 236.6 | learning rate: 7.572290E-05 | global batch size:     1 | lm loss: 8.141819E+00 | loss scale: 1.0 | grad norm: 0.437 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:02] iteration       74/     100 | consumed samples:           74 | elapsed time per iteration (ms): 236.4 | learning rate: 7.258614E-05 | global batch size:     1 | lm loss: 8.129824E+00 | loss scale: 1.0 | grad norm: 0.371 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:02] iteration       75/     100 | consumed samples:           75 | elapsed time per iteration (ms): 238.1 | learning rate: 6.954058E-05 | global batch size:     1 | lm loss: 8.366080E+00 | loss scale: 1.0 | grad norm: 0.477 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:02] iteration       76/     100 | consumed samples:           76 | elapsed time per iteration (ms): 237.6 | learning rate: 6.658924E-05 | global batch size:     1 | lm loss: 7.979521E+00 | loss scale: 1.0 | grad norm: 0.459 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:03] iteration       77/     100 | consumed samples:           77 | elapsed time per iteration (ms): 234.6 | learning rate: 6.373500E-05 | global batch size:     1 | lm loss: 7.913417E+00 | loss scale: 1.0 | grad norm: 0.404 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:03] iteration       78/     100 | consumed samples:           78 | elapsed time per iteration (ms): 235.7 | learning rate: 6.098071E-05 | global batch size:     1 | lm loss: 8.680975E+00 | loss scale: 1.0 | grad norm: 0.452 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:03] iteration       79/     100 | consumed samples:           79 | elapsed time per iteration (ms): 238.2 | learning rate: 5.832907E-05 | global batch size:     1 | lm loss: 7.986282E+00 | loss scale: 1.0 | grad norm: 0.431 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:03] iteration       80/     100 | consumed samples:           80 | elapsed time per iteration (ms): 236.6 | learning rate: 5.578270E-05 | global batch size:     1 | lm loss: 8.040542E+00 | loss scale: 1.0 | grad norm: 0.383 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:04] iteration       81/     100 | consumed samples:           81 | elapsed time per iteration (ms): 235.1 | learning rate: 5.334412E-05 | global batch size:     1 | lm loss: 7.707697E+00 | loss scale: 1.0 | grad norm: 0.643 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:04] iteration       82/     100 | consumed samples:           82 | elapsed time per iteration (ms): 234.4 | learning rate: 5.101573E-05 | global batch size:     1 | lm loss: 8.091646E+00 | loss scale: 1.0 | grad norm: 0.429 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:04] iteration       83/     100 | consumed samples:           83 | elapsed time per iteration (ms): 236.3 | learning rate: 4.879983E-05 | global batch size:     1 | lm loss: 8.000341E+00 | loss scale: 1.0 | grad norm: 0.399 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:04] iteration       84/     100 | consumed samples:           84 | elapsed time per iteration (ms): 234.7 | learning rate: 4.669860E-05 | global batch size:     1 | lm loss: 8.756844E+00 | loss scale: 1.0 | grad norm: 0.478 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:04] iteration       85/     100 | consumed samples:           85 | elapsed time per iteration (ms): 234.6 | learning rate: 4.471412E-05 | global batch size:     1 | lm loss: 8.905301E+00 | loss scale: 1.0 | grad norm: 0.739 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:05] iteration       86/     100 | consumed samples:           86 | elapsed time per iteration (ms): 233.9 | learning rate: 4.284835E-05 | global batch size:     1 | lm loss: 7.980845E+00 | loss scale: 1.0 | grad norm: 0.327 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:05] iteration       87/     100 | consumed samples:           87 | elapsed time per iteration (ms): 235.0 | learning rate: 4.110313E-05 | global batch size:     1 | lm loss: 7.951860E+00 | loss scale: 1.0 | grad norm: 0.309 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:05] iteration       88/     100 | consumed samples:           88 | elapsed time per iteration (ms): 235.4 | learning rate: 3.948018E-05 | global batch size:     1 | lm loss: 8.585508E+00 | loss scale: 1.0 | grad norm: 0.558 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:05] iteration       89/     100 | consumed samples:           89 | elapsed time per iteration (ms): 234.2 | learning rate: 3.798110E-05 | global batch size:     1 | lm loss: 7.705256E+00 | loss scale: 1.0 | grad norm: 0.549 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:06] iteration       90/     100 | consumed samples:           90 | elapsed time per iteration (ms): 235.0 | learning rate: 3.660737E-05 | global batch size:     1 | lm loss: 8.006121E+00 | loss scale: 1.0 | grad norm: 0.362 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:06] iteration       91/     100 | consumed samples:           91 | elapsed time per iteration (ms): 234.4 | learning rate: 3.536035E-05 | global batch size:     1 | lm loss: 8.118372E+00 | loss scale: 1.0 | grad norm: 0.448 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:06] iteration       92/     100 | consumed samples:           92 | elapsed time per iteration (ms): 235.4 | learning rate: 3.424127E-05 | global batch size:     1 | lm loss: 7.729919E+00 | loss scale: 1.0 | grad norm: 0.452 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:06] iteration       93/     100 | consumed samples:           93 | elapsed time per iteration (ms): 236.7 | learning rate: 3.325124E-05 | global batch size:     1 | lm loss: 7.732189E+00 | loss scale: 1.0 | grad norm: 0.443 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:07] iteration       94/     100 | consumed samples:           94 | elapsed time per iteration (ms): 235.4 | learning rate: 3.239122E-05 | global batch size:     1 | lm loss: 8.696962E+00 | loss scale: 1.0 | grad norm: 0.686 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:07] iteration       95/     100 | consumed samples:           95 | elapsed time per iteration (ms): 234.1 | learning rate: 3.166208E-05 | global batch size:     1 | lm loss: 8.030470E+00 | loss scale: 1.0 | grad norm: 0.347 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:07] iteration       96/     100 | consumed samples:           96 | elapsed time per iteration (ms): 235.6 | learning rate: 3.106452E-05 | global batch size:     1 | lm loss: 8.527673E+00 | loss scale: 1.0 | grad norm: 0.651 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 19:19:07] iteration       97/     100 | consumed samples:           97 | elapsed time per iteration (ms): 235.7 | learning rate: 3.059913E-05 | global batch size:     1 | lm loss: 8.182804E+00 | loss scale: 1.0 | grad norm: 0.425 | number of skipped iterations:   0 | number of nan iterations:   0 |
