 [2026-03-31 21:53:58] iteration        1/     100 | consumed samples:            1 | elapsed time per iteration (ms): 2347.1 | learning rate: 2.999334E-04 | global batch size:     1 | lm loss: 1.213301E+01 | loss scale: 1.0 | grad norm: 18.274 | number of skipped iterations:   0 | number of nan iterations:   0 |Number of parameters in transformer layers in billions:  0.44
 [2026-03-31 21:54:01] iteration       17/     100 | consumed samples:           17 | elapsed time per iteration (ms): 237.2 | learning rate: 2.812002E-04 | global batch size:     1 | lm loss: 1.031695E+01 | loss scale: 1.0 | grad norm: 0.686 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:01] iteration       18/     100 | consumed samples:           18 | elapsed time per iteration (ms): 238.5 | learning rate: 2.789843E-04 | global batch size:     1 | lm loss: 1.055405E+01 | loss scale: 1.0 | grad norm: 0.672 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:02] iteration       19/     100 | consumed samples:           19 | elapsed time per iteration (ms): 230.7 | learning rate: 2.766559E-04 | global batch size:     1 | lm loss: 9.827415E+00 | loss scale: 1.0 | grad norm: 0.772 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:02] iteration       20/     100 | consumed samples:           20 | elapsed time per iteration (ms): 223.6 | learning rate: 2.742173E-04 | global batch size:     1 | lm loss: 9.711414E+00 | loss scale: 1.0 | grad norm: 0.653 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:02] iteration       21/     100 | consumed samples:           21 | elapsed time per iteration (ms): 221.6 | learning rate: 2.716709E-04 | global batch size:     1 | lm loss: 9.477504E+00 | loss scale: 1.0 | grad norm: 0.743 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:02] iteration       22/     100 | consumed samples:           22 | elapsed time per iteration (ms): 221.5 | learning rate: 2.690193E-04 | global batch size:     1 | lm loss: 9.303225E+00 | loss scale: 1.0 | grad norm: 0.834 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:03] iteration       23/     100 | consumed samples:           23 | elapsed time per iteration (ms): 222.6 | learning rate: 2.662650E-04 | global batch size:     1 | lm loss: 9.289232E+00 | loss scale: 1.0 | grad norm: 0.574 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:03] iteration       24/     100 | consumed samples:           24 | elapsed time per iteration (ms): 222.6 | learning rate: 2.634108E-04 | global batch size:     1 | lm loss: 1.004832E+01 | loss scale: 1.0 | grad norm: 0.751 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:03] iteration       25/     100 | consumed samples:           25 | elapsed time per iteration (ms): 221.5 | learning rate: 2.604594E-04 | global batch size:     1 | lm loss: 9.589892E+00 | loss scale: 1.0 | grad norm: 0.627 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:03] iteration       26/     100 | consumed samples:           26 | elapsed time per iteration (ms): 221.5 | learning rate: 2.574139E-04 | global batch size:     1 | lm loss: 9.895342E+00 | loss scale: 1.0 | grad norm: 0.612 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:03] iteration       27/     100 | consumed samples:           27 | elapsed time per iteration (ms): 220.9 | learning rate: 2.542771E-04 | global batch size:     1 | lm loss: 1.011693E+01 | loss scale: 1.0 | grad norm: 0.650 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:04] iteration       28/     100 | consumed samples:           28 | elapsed time per iteration (ms): 223.9 | learning rate: 2.510522E-04 | global batch size:     1 | lm loss: 1.027410E+01 | loss scale: 1.0 | grad norm: 0.641 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:04] iteration       29/     100 | consumed samples:           29 | elapsed time per iteration (ms): 227.3 | learning rate: 2.477425E-04 | global batch size:     1 | lm loss: 8.319880E+00 | loss scale: 1.0 | grad norm: 0.556 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:04] iteration       30/     100 | consumed samples:           30 | elapsed time per iteration (ms): 229.2 | learning rate: 2.443510E-04 | global batch size:     1 | lm loss: 9.244835E+00 | loss scale: 1.0 | grad norm: 0.650 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:04] iteration       31/     100 | consumed samples:           31 | elapsed time per iteration (ms): 223.7 | learning rate: 2.408813E-04 | global batch size:     1 | lm loss: 8.869667E+00 | loss scale: 1.0 | grad norm: 0.593 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:05] iteration       32/     100 | consumed samples:           32 | elapsed time per iteration (ms): 222.5 | learning rate: 2.373366E-04 | global batch size:     1 | lm loss: 8.390216E+00 | loss scale: 1.0 | grad norm: 0.442 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:05] iteration       33/     100 | consumed samples:           33 | elapsed time per iteration (ms): 222.3 | learning rate: 2.337206E-04 | global batch size:     1 | lm loss: 8.839466E+00 | loss scale: 1.0 | grad norm: 0.601 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:05] iteration       34/     100 | consumed samples:           34 | elapsed time per iteration (ms): 221.3 | learning rate: 2.300367E-04 | global batch size:     1 | lm loss: 9.112024E+00 | loss scale: 1.0 | grad norm: 0.638 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:05] iteration       35/     100 | consumed samples:           35 | elapsed time per iteration (ms): 220.9 | learning rate: 2.262887E-04 | global batch size:     1 | lm loss: 8.098279E+00 | loss scale: 1.0 | grad norm: 0.412 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:05] iteration       36/     100 | consumed samples:           36 | elapsed time per iteration (ms): 221.5 | learning rate: 2.224802E-04 | global batch size:     1 | lm loss: 8.859049E+00 | loss scale: 1.0 | grad norm: 0.603 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:06] iteration       37/     100 | consumed samples:           37 | elapsed time per iteration (ms): 221.8 | learning rate: 2.186150E-04 | global batch size:     1 | lm loss: 8.022842E+00 | loss scale: 1.0 | grad norm: 0.449 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:06] iteration       38/     100 | consumed samples:           38 | elapsed time per iteration (ms): 222.1 | learning rate: 2.146968E-04 | global batch size:     1 | lm loss: 9.124195E+00 | loss scale: 1.0 | grad norm: 0.668 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:06] iteration       39/     100 | consumed samples:           39 | elapsed time per iteration (ms): 226.3 | learning rate: 2.107296E-04 | global batch size:     1 | lm loss: 8.049095E+00 | loss scale: 1.0 | grad norm: 0.595 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:06] iteration       40/     100 | consumed samples:           40 | elapsed time per iteration (ms): 226.2 | learning rate: 2.067173E-04 | global batch size:     1 | lm loss: 8.394773E+00 | loss scale: 1.0 | grad norm: 0.707 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:07] iteration       41/     100 | consumed samples:           41 | elapsed time per iteration (ms): 223.8 | learning rate: 2.026638E-04 | global batch size:     1 | lm loss: 8.166945E+00 | loss scale: 1.0 | grad norm: 0.407 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:07] iteration       42/     100 | consumed samples:           42 | elapsed time per iteration (ms): 225.8 | learning rate: 1.985731E-04 | global batch size:     1 | lm loss: 8.053921E+00 | loss scale: 1.0 | grad norm: 0.687 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:07] iteration       43/     100 | consumed samples:           43 | elapsed time per iteration (ms): 225.3 | learning rate: 1.944493E-04 | global batch size:     1 | lm loss: 8.123854E+00 | loss scale: 1.0 | grad norm: 0.379 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:07] iteration       44/     100 | consumed samples:           44 | elapsed time per iteration (ms): 225.7 | learning rate: 1.902965E-04 | global batch size:     1 | lm loss: 8.312853E+00 | loss scale: 1.0 | grad norm: 0.506 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:07] iteration       45/     100 | consumed samples:           45 | elapsed time per iteration (ms): 222.4 | learning rate: 1.861186E-04 | global batch size:     1 | lm loss: 7.986153E+00 | loss scale: 1.0 | grad norm: 0.658 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:08] iteration       46/     100 | consumed samples:           46 | elapsed time per iteration (ms): 221.8 | learning rate: 1.819200E-04 | global batch size:     1 | lm loss: 1.025607E+01 | loss scale: 1.0 | grad norm: 0.783 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:08] iteration       47/     100 | consumed samples:           47 | elapsed time per iteration (ms): 223.2 | learning rate: 1.777046E-04 | global batch size:     1 | lm loss: 7.921784E+00 | loss scale: 1.0 | grad norm: 0.554 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:08] iteration       48/     100 | consumed samples:           48 | elapsed time per iteration (ms): 225.8 | learning rate: 1.734767E-04 | global batch size:     1 | lm loss: 7.885117E+00 | loss scale: 1.0 | grad norm: 0.597 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:08] iteration       49/     100 | consumed samples:           49 | elapsed time per iteration (ms): 222.8 | learning rate: 1.692404E-04 | global batch size:     1 | lm loss: 7.930309E+00 | loss scale: 1.0 | grad norm: 0.460 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:09] iteration       50/     100 | consumed samples:           50 | elapsed time per iteration (ms): 223.3 | learning rate: 1.650000E-04 | global batch size:     1 | lm loss: 8.058840E+00 | loss scale: 1.0 | grad norm: 0.614 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:09] iteration       51/     100 | consumed samples:           51 | elapsed time per iteration (ms): 222.0 | learning rate: 1.607595E-04 | global batch size:     1 | lm loss: 7.932327E+00 | loss scale: 1.0 | grad norm: 0.422 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:09] iteration       52/     100 | consumed samples:           52 | elapsed time per iteration (ms): 226.9 | learning rate: 1.565233E-04 | global batch size:     1 | lm loss: 7.769008E+00 | loss scale: 1.0 | grad norm: 0.635 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:09] iteration       53/     100 | consumed samples:           53 | elapsed time per iteration (ms): 226.5 | learning rate: 1.522954E-04 | global batch size:     1 | lm loss: 7.735097E+00 | loss scale: 1.0 | grad norm: 0.538 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:09] iteration       54/     100 | consumed samples:           54 | elapsed time per iteration (ms): 220.9 | learning rate: 1.480800E-04 | global batch size:     1 | lm loss: 8.653803E+00 | loss scale: 1.0 | grad norm: 0.514 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:10] iteration       55/     100 | consumed samples:           55 | elapsed time per iteration (ms): 220.5 | learning rate: 1.438813E-04 | global batch size:     1 | lm loss: 8.931595E+00 | loss scale: 1.0 | grad norm: 0.680 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:10] iteration       56/     100 | consumed samples:           56 | elapsed time per iteration (ms): 225.5 | learning rate: 1.397035E-04 | global batch size:     1 | lm loss: 8.292261E+00 | loss scale: 1.0 | grad norm: 0.522 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:10] iteration       57/     100 | consumed samples:           57 | elapsed time per iteration (ms): 229.6 | learning rate: 1.355507E-04 | global batch size:     1 | lm loss: 8.413811E+00 | loss scale: 1.0 | grad norm: 0.590 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:10] iteration       58/     100 | consumed samples:           58 | elapsed time per iteration (ms): 223.4 | learning rate: 1.314269E-04 | global batch size:     1 | lm loss: 9.086779E+00 | loss scale: 1.0 | grad norm: 0.816 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:11] iteration       59/     100 | consumed samples:           59 | elapsed time per iteration (ms): 226.5 | learning rate: 1.273362E-04 | global batch size:     1 | lm loss: 8.378586E+00 | loss scale: 1.0 | grad norm: 0.565 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:11] iteration       60/     100 | consumed samples:           60 | elapsed time per iteration (ms): 226.0 | learning rate: 1.232827E-04 | global batch size:     1 | lm loss: 8.102968E+00 | loss scale: 1.0 | grad norm: 0.393 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:11] iteration       61/     100 | consumed samples:           61 | elapsed time per iteration (ms): 220.4 | learning rate: 1.192704E-04 | global batch size:     1 | lm loss: 7.883455E+00 | loss scale: 1.0 | grad norm: 0.419 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:11] iteration       62/     100 | consumed samples:           62 | elapsed time per iteration (ms): 217.9 | learning rate: 1.153032E-04 | global batch size:     1 | lm loss: 7.987121E+00 | loss scale: 1.0 | grad norm: 0.418 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:11] iteration       63/     100 | consumed samples:           63 | elapsed time per iteration (ms): 216.7 | learning rate: 1.113850E-04 | global batch size:     1 | lm loss: 8.180555E+00 | loss scale: 1.0 | grad norm: 0.464 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:12] iteration       64/     100 | consumed samples:           64 | elapsed time per iteration (ms): 222.2 | learning rate: 1.075198E-04 | global batch size:     1 | lm loss: 7.890303E+00 | loss scale: 1.0 | grad norm: 0.536 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:12] iteration       65/     100 | consumed samples:           65 | elapsed time per iteration (ms): 217.7 | learning rate: 1.037113E-04 | global batch size:     1 | lm loss: 7.794145E+00 | loss scale: 1.0 | grad norm: 0.405 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:12] iteration       66/     100 | consumed samples:           66 | elapsed time per iteration (ms): 222.4 | learning rate: 9.996325E-05 | global batch size:     1 | lm loss: 8.712288E+00 | loss scale: 1.0 | grad norm: 0.730 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:12] iteration       67/     100 | consumed samples:           67 | elapsed time per iteration (ms): 219.8 | learning rate: 9.627941E-05 | global batch size:     1 | lm loss: 9.419445E+00 | loss scale: 1.0 | grad norm: 0.692 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:13] iteration       68/     100 | consumed samples:           68 | elapsed time per iteration (ms): 219.4 | learning rate: 9.266338E-05 | global batch size:     1 | lm loss: 8.031652E+00 | loss scale: 1.0 | grad norm: 0.360 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:13] iteration       69/     100 | consumed samples:           69 | elapsed time per iteration (ms): 225.3 | learning rate: 8.911874E-05 | global batch size:     1 | lm loss: 7.707422E+00 | loss scale: 1.0 | grad norm: 0.542 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:13] iteration       70/     100 | consumed samples:           70 | elapsed time per iteration (ms): 217.1 | learning rate: 8.564899E-05 | global batch size:     1 | lm loss: 8.197654E+00 | loss scale: 1.0 | grad norm: 0.499 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:13] iteration       71/     100 | consumed samples:           71 | elapsed time per iteration (ms): 216.5 | learning rate: 8.225755E-05 | global batch size:     1 | lm loss: 8.064590E+00 | loss scale: 1.0 | grad norm: 0.382 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:13] iteration       72/     100 | consumed samples:           72 | elapsed time per iteration (ms): 217.6 | learning rate: 7.894776E-05 | global batch size:     1 | lm loss: 7.752245E+00 | loss scale: 1.0 | grad norm: 0.525 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:14] iteration       73/     100 | consumed samples:           73 | elapsed time per iteration (ms): 216.5 | learning rate: 7.572290E-05 | global batch size:     1 | lm loss: 8.139183E+00 | loss scale: 1.0 | grad norm: 0.432 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:14] iteration       74/     100 | consumed samples:           74 | elapsed time per iteration (ms): 221.5 | learning rate: 7.258614E-05 | global batch size:     1 | lm loss: 8.130253E+00 | loss scale: 1.0 | grad norm: 0.368 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:14] iteration       75/     100 | consumed samples:           75 | elapsed time per iteration (ms): 220.1 | learning rate: 6.954058E-05 | global batch size:     1 | lm loss: 8.375780E+00 | loss scale: 1.0 | grad norm: 0.479 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:14] iteration       76/     100 | consumed samples:           76 | elapsed time per iteration (ms): 219.4 | learning rate: 6.658924E-05 | global batch size:     1 | lm loss: 7.988599E+00 | loss scale: 1.0 | grad norm: 0.462 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:15] iteration       77/     100 | consumed samples:           77 | elapsed time per iteration (ms): 220.4 | learning rate: 6.373500E-05 | global batch size:     1 | lm loss: 7.923038E+00 | loss scale: 1.0 | grad norm: 0.407 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:15] iteration       78/     100 | consumed samples:           78 | elapsed time per iteration (ms): 221.7 | learning rate: 6.098071E-05 | global batch size:     1 | lm loss: 8.676354E+00 | loss scale: 1.0 | grad norm: 0.454 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:15] iteration       79/     100 | consumed samples:           79 | elapsed time per iteration (ms): 220.6 | learning rate: 5.832907E-05 | global batch size:     1 | lm loss: 7.991553E+00 | loss scale: 1.0 | grad norm: 0.432 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:15] iteration       80/     100 | consumed samples:           80 | elapsed time per iteration (ms): 220.3 | learning rate: 5.578270E-05 | global batch size:     1 | lm loss: 8.040811E+00 | loss scale: 1.0 | grad norm: 0.384 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:15] iteration       81/     100 | consumed samples:           81 | elapsed time per iteration (ms): 220.9 | learning rate: 5.334412E-05 | global batch size:     1 | lm loss: 7.713078E+00 | loss scale: 1.0 | grad norm: 0.660 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:16] iteration       82/     100 | consumed samples:           82 | elapsed time per iteration (ms): 220.2 | learning rate: 5.101573E-05 | global batch size:     1 | lm loss: 8.091900E+00 | loss scale: 1.0 | grad norm: 0.517 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:16] iteration       83/     100 | consumed samples:           83 | elapsed time per iteration (ms): 221.1 | learning rate: 4.879983E-05 | global batch size:     1 | lm loss: 8.007350E+00 | loss scale: 1.0 | grad norm: 0.430 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:16] iteration       84/     100 | consumed samples:           84 | elapsed time per iteration (ms): 220.2 | learning rate: 4.669860E-05 | global batch size:     1 | lm loss: 8.748698E+00 | loss scale: 1.0 | grad norm: 0.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:16] iteration       85/     100 | consumed samples:           85 | elapsed time per iteration (ms): 221.5 | learning rate: 4.471412E-05 | global batch size:     1 | lm loss: 8.904287E+00 | loss scale: 1.0 | grad norm: 0.738 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:17] iteration       86/     100 | consumed samples:           86 | elapsed time per iteration (ms): 221.5 | learning rate: 4.284835E-05 | global batch size:     1 | lm loss: 7.983414E+00 | loss scale: 1.0 | grad norm: 0.327 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:17] iteration       87/     100 | consumed samples:           87 | elapsed time per iteration (ms): 226.5 | learning rate: 4.110313E-05 | global batch size:     1 | lm loss: 7.954955E+00 | loss scale: 1.0 | grad norm: 0.315 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:17] iteration       88/     100 | consumed samples:           88 | elapsed time per iteration (ms): 223.4 | learning rate: 3.948018E-05 | global batch size:     1 | lm loss: 8.586628E+00 | loss scale: 1.0 | grad norm: 0.560 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:17] iteration       89/     100 | consumed samples:           89 | elapsed time per iteration (ms): 223.7 | learning rate: 3.798110E-05 | global batch size:     1 | lm loss: 7.709235E+00 | loss scale: 1.0 | grad norm: 0.578 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:17] iteration       90/     100 | consumed samples:           90 | elapsed time per iteration (ms): 227.5 | learning rate: 3.660737E-05 | global batch size:     1 | lm loss: 8.006789E+00 | loss scale: 1.0 | grad norm: 0.368 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:18] iteration       91/     100 | consumed samples:           91 | elapsed time per iteration (ms): 224.7 | learning rate: 3.536035E-05 | global batch size:     1 | lm loss: 8.119011E+00 | loss scale: 1.0 | grad norm: 0.448 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:18] iteration       92/     100 | consumed samples:           92 | elapsed time per iteration (ms): 226.8 | learning rate: 3.424127E-05 | global batch size:     1 | lm loss: 7.731737E+00 | loss scale: 1.0 | grad norm: 0.463 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:18] iteration       93/     100 | consumed samples:           93 | elapsed time per iteration (ms): 222.9 | learning rate: 3.325124E-05 | global batch size:     1 | lm loss: 7.734124E+00 | loss scale: 1.0 | grad norm: 0.447 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:18] iteration       94/     100 | consumed samples:           94 | elapsed time per iteration (ms): 221.4 | learning rate: 3.239122E-05 | global batch size:     1 | lm loss: 8.699124E+00 | loss scale: 1.0 | grad norm: 0.691 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:19] iteration       95/     100 | consumed samples:           95 | elapsed time per iteration (ms): 224.3 | learning rate: 3.166208E-05 | global batch size:     1 | lm loss: 8.036596E+00 | loss scale: 1.0 | grad norm: 0.354 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:19] iteration       96/     100 | consumed samples:           96 | elapsed time per iteration (ms): 225.4 | learning rate: 3.106452E-05 | global batch size:     1 | lm loss: 8.529840E+00 | loss scale: 1.0 | grad norm: 0.655 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-31 21:54:19] iteration       97/     100 | consumed samples:           97 | elapsed time per iteration (ms): 224.2 | learning rate: 3.059913E-05 | global batch size:     1 | lm loss: 8.184498E+00 | loss scale: 1.0 | grad norm: 0.434 | number of skipped iterations:   0 | number of nan iterations:   0 |
